"Line","Ref","DocType","QAdeter","QAmeas","year","workerID","Trade_raw","Task_raw","Tool_raw","Tool_make","Material_raw","percSI_ref","percSI_mat","percQuartz_mat","percCrist_mat","percTrid_mat","percTrip_mat","Mat_ana","Trade","Task","Material","Tool","Site_class","Site_type","Agent","NbMeas","AM","ASD","GM","GSD","est_GM","est_GM_meth","est_GSD","est_GSD_meth","Min","P5","P10","Med","P90","P95","Max","Other_stat","Other_stat_def","Type","Association","IDassociation","Association_detail","Raw_measurement","Sampling_time","Sampling_time2","Objective","Calc_meas","IDCalc","OEL","Adj_OEL","Sampling_meth","Analysis_type","Analysis_meth","Analysis_detail","LOD","Environnement","SourceProx","Contribution","Contribution_detail","Formation","ControlNotAPR","GenVent","ExhVent_proxim","ExhVent_tool","Wet_spray","Wet_tool","isoSrc","Other_control","control_detail","RPEused","RPEtype","RPE_remark","remark"
"1","ID0001","4","4","4","Not specified_Non précisé","ID0001_01","Not specified_Non précisé","Jack hammering concrete","Jackhammer","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","18","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_1","29","0.17",NA,"2","5","0.17","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"2","ID0001","4","4","4","Not specified_Non précisé","ID0001_02","Not specified_Non précisé","Jack hammering concrete","Jackhammer","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","18","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_1","29","0.03",NA,"2","5","0.03","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4",NA,"1","2",NA,NA
"3","ID0001","4","4","4","Not specified_Non précisé","ID0001_03","Not specified_Non précisé","Chipping concrete","Not specified_Non précisé","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_2","29","0.16",NA,"2","5","0.16","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"4","ID0001","4","4","4","Not specified_Non précisé","ID0001_04","Not specified_Non précisé","Chipping concrete","Not specified_Non précisé","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","6","5","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_2","29","0.03",NA,"2","5","0.03","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4",NA,"1","2",NA,NA
"5","ID0001","4","4","4","Not specified_Non précisé","ID0001_05","Not specified_Non précisé","Sawing concrete blocks","Saw","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","32","6","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_3","29","0.113",NA,"2","5","0.113","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"6","ID0001","4","4","4","Not specified_Non précisé","ID0001_06","Not specified_Non précisé","Sawing concrete blocks","Saw","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","9","32","6","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_3","29","0.02",NA,"2","5","0.02","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","5","4","4","4",NA,"1","2",NA,NA
"7","ID0001","4","4","4","Not specified_Non précisé","ID0001_07","Not specified_Non précisé","Dry cutting masonry with portable ""chop saw""","portable ""chop saw""","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","5","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_4","29","2.4",NA,"2","5","2.4","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"8","ID0001","4","4","4","Not specified_Non précisé","ID0001_08","Not specified_Non précisé","Dry cutting masonry with portable ""chop saw""","portable ""chop saw""","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","43","32","5","29","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_4","29","5.5E-2",NA,"2","5","5.5E-2","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","4","5","4","4",NA,"1","2",NA,NA
"9","ID0001","4","4","4","Not specified_Non précisé","ID0001_09","Not specified_Non précisé","Smoothing concrete walls with hand-held angle-grinder","hand-held angle-grinder","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","5","20","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_5","29","0.18",NA,"2","5","0.18","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","4","4","4","4","4","4","4","4",NA,"1","2",NA,NA
"10","ID0001","4","4","4","Not specified_Non précisé","ID0001_10","Not specified_Non précisé","Smoothing concrete walls with hand-held angle-grinder","hand-held angle-grinder","Not specified_Non précisé","Concrete","4","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","Not applicable_Sans objet","2","17","21","5","20","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","ID0001_5","29","0.02",NA,"2","5","0.02","4","-2","-2","1","1","1","5","-1","1","1","2",NA,"1","5","4","4","4","4","5","4","4",NA,"1","2",NA,NA
