"control_detail","Description"
1,"2 window exhaust providing dilution ventilation"
2,"3 window exhaust providing dilution ventilation"
3,"WAP (German brand) air exhaust system"
4,"SawTec, Model Maxi-Vac 900 cfm"
5,"SawTec, Model Micro-mini-vac 760 cfm"
6,"Wetting"
7,"Air wetting"
8,"Waste wetting"
9,"Road wetting"
10,"Ground wetting, enclosed cabin"
11,"Ground wetting, enclosed cabin with air conditioning"
12,"Wetting of the hole"
13,"Wetting of the hole with circular exhaust on top of the hole"
14,"Wetting of the hole with circular exhaust on top of the hole and enclosed ventilated cabin"
15,"Wetting on the side of the jackhammer"
16,"Wetting on tool (Type B, 12 00 GPH, 80 deg., Delavan Inc. Fuel Metering Products)"
17,"Wetting on saw"
18,"Wetting on saw but not on jackhammer"
19,"Exhausted enclosure at first transfer point of conveyor - Dry weather"
20,"Air exhaust at each transfer point of conveyor - Dry weather"
21,"Air exhaust at each transfer point of conveyor - Rain"
22,"Air exhaust with localized filtration"
23,"Air exhaust on each side of the first  and enclosure at transfer point of conveyors- Heavy rain"
24,"Air exhaust on each side of the first  and enclosure at transfer point of conveyors- Dry weather"
25,"Air exhaust on each side of the first  and enclosure at transfer point of conveyors- Rain"
26,"Air exhaust on grinder"
27,"Air exhaust on machine enclosure - Dry weather"
28,"Air exhaust on machine enclosure - Rain"
29,"Air exhaust on machine enclosure and at transfer point of conveyors- Dry weather"
30,"Air exhaust on machine enclosure and at transfer point of conveyors- Rain"
31,"Air exhaust on machine enclosure and at transfer point of conveyors- Light rain"
32,"Air exhaust on grinder; exhausted nearby unfiltered"
33,"Air exhaust on machine, unused during sampling"
34,"Exhaust shroud (Bosch) provided with drill and large vacuum (188 cfm) Dustcontrol model DC3700C"
35,"Exhaust shroud (Bosch) provided with drill and small vacuum (114 cfm) Porter-Cable model #7812"
36,"Exhaust shroud  Dustless Drill Kit (Tiger-Vac, Plattsburgh, NY) and large vacuum (188 cfm) Dustcontrol model DC3700C"
